Produto,Preço,Marca,Capacidade
Placa De Vídeo Amd Radeon R7 240 4gb Ddr5 128 Bits Pcyes,439.59,AMD,4GB
Kingster Placa De Vídeo Nvidia Geforce 600 Gt610 2gb Ddr3,189.0,NVIDIA,2GB
Placa De Vídeo Gamer Amd Radeon Rx580 Gddr5 8g Hdmi Dp,819.0,AMD,Não informado
Placa De Vídeo Nvidia Ge Force Gt610 2gb Ddr3 Hdmi Vga Dvi,152.0,NVIDIA,2GB
Placa De Vídeo Amd Radeon Rx 550 4gb Gddr5 128 Bits Revenger,460.0,AMD,4GB
Placa de vídeo RTX 3060 12GB GALAX,2599.0,Desconhecida,12GB
Placa De Vídeo Evolut Geforce Gt610 2gb Ddr3 Dvi/hdmi/vga,254.63,NVIDIA,2GB
Placa De Vídeo Geforce Gt730 4gb Ddr3 128 Bit Evolut Hdmi,520.58,NVIDIA,4GB
Placa De Vídeo Pcyes Radeon Rx 550 4gb Gddr5 Hdmi/dp/dvi,629.1,Desconhecida,4GB
Placa De Vídeo Vxpro Nvidia Geforce Gt 730 4gb Ddr3 128bit,330.8,NVIDIA,4GB
Placa de vídeo AMD Afox  Radeon R5 Series R5 220 AFR5220-2048D3L9-V2 2GB,189.0,AMD,2GB
Placa De Vídeo Rtx 4060 8gb Python Ii Gddrd6 128b Gainward,2759.0,Desconhecida,8GB
Placa de vídeo Nvidia Kingster  2019 GeForce 200 Series GT 210 PA210G6401D3LP 1GB,149.0,NVIDIA,1GB
Placa de vídeo AMD Afox  Radeon R5 200 Series R5 220 AFR5220-2048D3L5-V2 2GB,189.0,AMD,2GB
Placa de vídeo AMD ASRock  Challenger Radeon RX 6600 Series RX 6600 RX6600 CLD 8G 8GB,1790.0,AMD,8GB
Placa De Vídeo Gt 210 1gb Ddr3 Bluecase Pci-e 16x,159.99,Desconhecida,1GB
Placa De Vídeo Radeon Gamer Amd Rx550 Gddr5 4g Dvi Hdmi Dp,449.0,AMD,Não informado
Placa De Vídeo Gamer Jogos Geforce G730 Nvidia 4gb Ddr3,350.0,NVIDIA,4GB
Placa gráfica Asrock Amd Radeon Rx6600 Challenger White de 8 GB,1807.0,AMD,8GB
Placa De Vídeo Revenger Nvidiagtx 1660 6gb Gddr6 Super,1475.0,NVIDIA,6GB
Placa De Vídeo Vxpro Nvidia Geforce Gt 610 2gb Ddr3 64bit,199.9,NVIDIA,2GB
Placa De Vídeo Revenger 4gb Ddr5 128 Bits Alta Definição,790.0,Desconhecida,4GB
Placa De Video 730GT 2GB VXPRO 2gb Ddr3 Vxgt730lp-2gd3-a,295.0,Desconhecida,2GB
Placa Vídeo Gt740 Geforce Gddr5 4g Clock 5000mhz 3d Vision,410.0,NVIDIA,Não informado
Placa De Vídeo Geforce Gt 740 4gb Gddr5 Bluecase Nvidia,498.28,NVIDIA,4GB
Placa de vídeo RTX 3060 GeForce Nvidia Gainward Ghost RTX 30 Series NE63060019K9-190AU 12GB,2975.0,NVIDIA,12GB
Placa De Vídeo Rtx 4070 Msi Ventus E1 12gb 3x Oc 192 Bits,6200.0,MSI,12GB
Placa De Vídeo Pcyes Geforce Gt 1030 2gb Ddr5 Hdmi/dvi,580.9,NVIDIA,2GB
Placa de vídeo Nvidia MSI  Ventus GeForce RTX 30 Series RTX 3060 GEFORCE RTX 3060 VENTUS 2X 12G OC OC Edition 12GB,2500.0,NVIDIA,12GB
Placa de vídeo Nvidia  Quadro Series P400 2GB,789.0,NVIDIA,2GB
Placa de vídeo Nvidia Asus  Dual GeForce RTX 30 Series RTX 3060 DUAL-RTX3060-O12G-V2 OC Edition 12GB,2879.0,NVIDIA,12GB
Placa De Vídeo Nvidia Geforce Gtx 550ti 2gb Ddr5 128bits,296.0,NVIDIA,2GB
Placa De Vídeo Vxpro Nvidia Geforce Gtx 750 Ti 4gb Gddr5,561.21,NVIDIA,4GB
Placa De Vídeo Nvidia Ge Force Gt610 1g Ddr3 Hdmi Vga Dvi,138.0,NVIDIA,Não informado
Placa de vídeo AMD Pcyes  Radeon R7 200 Series R7 240 PJ240R71284GD5 4GB,350.41,AMD,4GB
Placa Video 8gb Rtx4060 Asus Dual-rtx4060-o8g-evo,3022.0,ASUS,8GB
Placa de vídeo AMD Arktek  Cyclops Radeon RX 500 Series RX 550 AKR550D5S4GH1 4GB,760.8,AMD,4GB
Placa de vídeo AMD Revenger  Rx 500 Séries Radeon RX 500 Series G-RX580-8G 8GB,829.0,AMD,8GB
Placa gráfica Nvidia Zotac Gt 710 Gt710 2gb Gddr3,357.37,NVIDIA,2GB
Placa De Vídeo Galax Nvidia Geforce Rtx 3050 Ex Oc 6gb Gddr6,1572.0,NVIDIA,6GB
Placa De Vídeo Msi Geforce Gtx 1650 Ventus Xs Ocv3 4gb D6,1290.0,NVIDIA,4GB
Placa de vídeo Nvidia Pcyes  GeForce 200 Series G210 PA210G6401D3LP 1GB,172.55,NVIDIA,1GB
Placa De Vídeo Brx Geforce Gt 740 4gb Ddr5 128bit Hdmi Vga,554.76,NVIDIA,4GB
Placa de vídeo Nvidia Knup  GeForce 200 Series GT 210 KP-GT210 1GB,129.0,NVIDIA,1GB
Placa De Vídeo Gamer Rx550 Radeon Amd 4gb Ddr5 128 Bits,479.9,AMD,4GB
Placa De Vídeo Geforce Gtx 550ti 4gb Ddr5 128bits Revenger,474.0,NVIDIA,4GB
Placa De Video Amd Radeon Rx560 4gb 128bits Gddr5 Hdmi Gamer,595.0,AMD,4GB
Placa de vídeo Nvidia Duex  GeForce 700 Series GT 730 GT730LP-4GD3-C 4GB,349.0,NVIDIA,4GB
Placa de vídeo Nvidia Pcyes  GeForce 500 Series GTX 550 Ti PV55TX1GD5128DF 1GB,349.0,NVIDIA,1GB
Gpu Nvidia Geforce Gt 710 2gb Ddr3 64bits Pcyes Pvgt7102gb,339.9,NVIDIA,2GB
